Ma_Hang,BG_LC_hien_tai,Gia_von_VAT
SP2706760,8000.0,7350.0
SP2706729,588000.0,588000.0
SP2706686,80000.0,83809.0
SP2706682,84000.0,113523.0
SP2706678,186375.0,186376.0
SP2706622,305000.0,319524.0
SP2706611,89000.0,80000.0
SP2706591,260000.0,259999.95
SP2706582,305000.0,304995.6
SP2706575,28800.0,69999.12
SP2706507,310000.0,262389.0
SP2706460,56000.0,48001.0
SP270645,95000.0,90476.0
SP2706423,345000.0,250740.0
SP2706376,195000.0,195000.0
SP2706370,110000.0,115000.0
SP2706365,,30000.0
SP2706361,220000.0,220000.0
SP2706360,515200.0,500297.8086
SP2706343,78000.0,77999.95
SP2706306,325000.0,309524.0
SP270630,310000.0,396191.0
SP2706295,85000.0,85000.0
SP2706286,6000.0,5500.005
SP2706283,67900.0,64667.0
SP270624,28000.0,26533.0
SP2706198,251000.0,249745.0
SP2706177,111500.0,122010.0
SP2706171,219900.0,254999.85
SP270616,140000.0,140000.0
SP2706145,20100.0,19553.33089
SP2706129,,
SP2706122,44000.0,35999.25
SP270612,298000.0,312191.0
SP2706098,32000.0,32697.19905
SP2706091,12466.0,289800.0
SP2706068,30000.0,28571.0
SP2706063,82000.0,81999.72
SP270606,109000.0,135667.0
SP270605,29600.0,28191.0
SP2706035,174000.0,173999.7
SP2706020,224000.0,233729.0
SP2705979,5000.0,4000.0
SP2705962,35000.0,36000.0
SP2705961,23000.0,22000.02
SP2705955,57000.0,130952.0
SP2705926,244000.0,308700.0
SP270590,145000.0,303571.0
SP2705899,93000.0,93000.0
SP2705896,4500.0,
SP2705819,11000.0,11466.0
SP270569,99000.0,141429.0
SP2705689,380000.0,385000.0
SP2705667,12500.0,15715.0
SP270566,27700.0,24469.86241
SP2705630,205000.0,177914.0327
SP270562,89000.0,82407.0
SP2705576,40000.0,37963.0
SP2705557,40000.0,41905.0
SP2705544,43000.0,36840.19478
SP2705528,265500.0,277619.0
SP2705519,100000.0,95000.0
SP270529,540000.0,537300.0
SP270523,,31937.0
SP270474,187000.0,182193.368
SP270367,54000.0,46893.0
SP270366,39000.0,100808.0
SP270328,193000.0,214444.0
SP270208,125500.0,119049.0
SP270140,125000.0,125002.5
SP270137,16000.0,15599.35549
SP270127,21000.0,14722.0
SP270118,28000.0,30345.0
SP270114,10000.0,10500.0
SP270086,140000.0,139979.7
SP270076,178600.0,178275.0
SP270020,204000.0,193900.0
SP269990,135000.0,135001.125
SP269989,24000.0,26286.0
SP269981,68000.0,64800.0
SP269977,78000.0,74000.0
SP269950,432000.0,411429.0
SP269937,,19400.0
SP269930,317800.0,286000.0
SP269920,81000.0,50434.0
SP269916,106000.0,94286.0
SP269915,417000.0,414915.0
SP269910,69000.0,83000.0
SP269908,415200.0,395429.0
SP269841,176000.0,167619.0
SP269778,820000.0,740000.0
SP269772,5000.0,5000.0
SP269755,99000.0,65476.0
SP269718,20700.0,15167.0
SP269701,334200.0,334200.0
SP269686,130000.0,123809.0
SP269684,42000.0,44001.0
SP269681,30000.0,27853.0
SP269678,70000.0,66667.0
SP269677,45000.0,44337.0
SP269676,70000.0,66667.0
SP269667,69700.0,52000.0
SP269665,260000.0,259330.0
SP269625,230000.0,219048.0
SP269624,160000.0,242813.0
SP269616,65000.0,47687.0
SP269614,70000.0,66667.0
SP269611,61000.0,44374.0
SP269599,130000.0,129999.6
SP269595,108000.0,40499.9
SP269592,70000.0,66667.0
SP269580,,29000.0
SP269562,125000.0,119000.16
SP269549,60000.0,37589.0
SP269548,,35699.0
SP269545,117600.0,112000.0
SP269544,160000.0,174362.0
SP269537,706000.0,676706.0
SP269534,373000.0,321000.0
SP269531,53000.0,46091.0
SP269523,205000.0,185960.0
SP269499,,75429.0
SP269497,14000.0,13479.0
SP269496,145000.0,123520.0
SP269493,45000.0,33590.0
SP269483,,61204.0
SP269451,182000.0,179400.0
SP269447,36000.0,34286.0
SP269427,,75000.0
SP269426,80000.0,69858.0
SP269421,25000.0,20846.7
SP269420,,209524.0
SP269419,65000.0,56159.0
SP269406,60000.0,57143.0
SP269389,,114000.0
SP269371,29500.0,27000.0
SP269291,33000.0,
SP269289,24000.0,24000.0
SP269273,55000.0,55000.0
SP269265,16900.0,15299.0
SP269252,60000.0,60161.0
SP269251,74000.0,65746.0
SP269232,50000.0,78408.0
SP269218,30000.0,34868.0
SP269196,27000.0,27000.0
SP269177,8000.0,11429.0
SP269176,150000.0,150000.0
SP269170,83000.0,102857.0
SP269169,220000.0,230476.0
SP269146,54500.0,41865.90619
SP269083,90000.0,92300.25
SP269080,80000.0,80000.0
SP269058,139000.0,124424.0
SP269012,80000.0,70000.14
SP268984,27000.0,24389.0
SP268982,128000.0,121524.0
SP268958,203500.0,183591.0
SP268934,231000.0,220000.0
SP268929,74000.0,70476.0
SP268904,143850.0,101640.0
SP268896,260000.0,247619.0
SP268893,80000.0,78000.0
SP268892,98000.0,79200.0
SP268880,460000.0,481905.0
SP268874,179000.0,166307.2541
SP268864,87000.0,84000.0
SP268858,114000.0,103622.0
SP268826,469700.0,447333.0
SP268818,92000.0,73100.0
SP268803,93000.0,88572.0
SP268802,280000.0,266667.0
SP268789,225000.0,276000.0
SP268786,4000.0,3462.0
SP268784,59000.0,53334.0
SP268782,99000.0,94286.0
SP268778,49000.0,46667.0
SP268771,190000.0,78750.0
SP268757,74000.0,77299.92
SP268752,,30270.0
SP268750,50000.0,39017.0
SP268724,406000.0,310000.0
SP268723,108000.0,108711.0
SP268720,25000.0,25000.0
SP268687,210000.0,183060.0
SP268658,105000.0,94000.0
SP268655,32000.0,28735.0
SP268654,30000.0,30000.0
SP268653,68600.0,71866.0
SP268636,124900.0,118952.0
SP268629,,12000.0
SP268626,17500.0,13000.05
SP268604,210000.0,194198.0
SP268590,91000.0,65515.0
SP268589,60000.0,48572.0
SP268561,,224840.0
SP268548,66000.0,62857.0
SP268531,21480.0,18514.0
SP268529,48000.0,42000.0
SP268526,27000.0,26400.0
SP268482,167000.0,101200.0
SP268459,127900.0,121200.0
SP268453,79000.0,60000.0
SP268442,19000.0,21578.0
SP268424,80000.0,72572.0
SP268419,28000.0,27000.0
SP268405,58000.0,54000.0
SP268359,20000.0,20953.0
SP268356,91000.0,91000.0
SP268347,20000.0,23810.0
SP268255,108000.0,65800.0
SP268219,110000.0,110000.0
SP268208,75000.0,70500.15
SP268192,194000.0,194000.0
SP268185,30000.0,130000.5
SP268180,58000.0,51300.0
SP268157,47500.0,35000.0
SP268150,3990.0,2949.996
SP268142,212900.0,213000.0
SP268139,100000.0,78000.0
SP268136,65000.0,55556.0
SP268135,55000.0,45000.0
SP268115,,110000.0
SP268096,25000.0,24470.85612
SP268089,188000.0,240003.0
SP268085,96000.0,96000.0
SP268082,75000.0,95238.0
SP268080,280000.0,266667.0
SP268060,78000.0,62000.0
SP268058,588500.0,672000.0
SP268056,56000.0,57000.0
SP268036,225000.0,214286.0
SP268020,105000.0,123214.0
SP268018,560000.0,541000.0
SP268014,96000.0,90971.0
SP268012,179000.0,182000.0
SP267983,115000.0,120476.0
SP267960,135000.0,121363.0
SP267941,60000.0,65000.0
SP267937,103000.0,93095.0
SP267933,96000.0,78212.0
SP267883,105000.0,100000.0
SP267881,65000.0,49000.0
SP267877,40000.0,40000.0
SP267857,33100.0,34913.0
SP267847,118000.0,118000.0
SP267844,44000.0,40000.0
SP267840,160000.0,196999.92
SP267820,125000.0,120988.6422
SP267815,43000.0,74286.0
SP267809,96000.0,95833.0
SP267798,280000.0,266667.0
SP267756,75000.0,68748.31088
SP267753,72000.0,58000.0
SP267747,264600.0,252000.0
SP267744,290000.0,269025.0
SP267727,100500.0,91208.30037
SP267701,38900.0,37976.0
SP267694,235000.0,223810.0
SP267690,130000.0,88772.0
SP267687,255000.0,255000.0
SP267683,148100.0,122857.0
SP267673,384000.0,350700.0
SP267657,209900.0,199896.0
SP267650,342000.0,366000.0
SP267647,516000.0,513410.0
SP267644,88000.0,92191.0
SP267635,117900.0,115542.0
SP267631,420000.0,420000.0
SP267624,90000.0,100000.0
SP267623,121000.0,132000.0
SP267616,64960.0,63000.0
SP267614,109000.0,105534.0
SP267613,347000.0,347000.0
SP267611,62000.0,56571.0
SP267601,168000.0,75526.344
SP267600,42000.0,40000.0
SP267597,520000.0,495238.0
SP267594,150000.0,157143.0
SP267588,495000.0,495000.0
SP267567,59000.0,97476.0
SP267566,450000.0,400800.0
SP267548,284500.0,269598.0
SP267527,67000.0,85000.0
SP267514,210000.0,200000.0
SP267507,525000.0,390000.0
SP267500,107500.0,99000.0
SP267475,,
SP267437,295000.0,295000.0
SP267359,60000.0,51999.84
SP267358,175000.0,185000.0
SP267296,69000.0,64800.0
SP267238,12000.0,33704.0
SP267214,24000.0,22049.0
SP267206,24000.0,24000.0
SP267202,19000.0,17262.0
SP026935,222000.0,196650.0
SP026879,482000.0,469239.8842
SP026863,20000.0,21780.0
SP026847,13000.0,11080.0
SP026724,102000.0,102000.15
SP026684,100000.0,95238.0
SP026675,137000.0,130476.0
SP026673,120000.0,109524.0
SP026671,,173999.88
SP026667,,175238.0
SP026654,194000.0,172381.0
SP026647,227000.0,227000.0
SP026628,25000.0,21824.0
SP026615,310000.0,420403.0
SP026607,149900.0,142762.0
SP026606,62000.0,56666.0
SP026605,,107675.0
SP026602,,89905.0
SP026591,57000.0,57000.0
SP026585,59500.0,54131.595
SP026580,25000.0,28095.0
SP026571,60000.0,58527.0
SP026570,33000.0,33512.56548
SP026539,41000.0,40566.75
SP026524,248000.0,245024.85
SP026516,60960.0,58057.0
SP026513,75000.0,100304.0
SP026509,380000.0,390000.45
SP026503,,72767.0
SP026500,215000.0,216000.0
SP026468,116000.0,115177.0
SP026465,,80000.0
SP026464,200000.0,187000.0
SP026461,136500.0,136500.0
SP026432,55000.0,51000.0
SP026414,63000.0,54000.0
SP026412,155000.0,142857.0
SP026383,37000.0,40000.0
SP026359,220000.0,243000.0
SP026355,211000.0,204000.0
SP026320,210000.0,353076.0
SP026306,31000.0,21022.0
SP026296,21000.0,17248.0
SP026266,85000.0,72857.0
SP026228,209000.0,199057.0
SP026207,266000.0,
SP026196,15000.0,12037.0
SP026173,70000.0,35296.0
SP026172,135000.0,128319.45
SP026138,168000.0,113155.0
SP026129,164500.0,152000.0
SP026121,150000.0,142857.0
SP026107,41990.0,44000.0
SP026104,10800.0,
SP026103,107850.0,102714.0
SP026043,10000.0,7703.0
SP026020,63000.0,57143.0
SP026003,30000.0,28571.0
SP025991,60000.0,51949.34426
SP025971,83000.0,79048.0
SP025965,,97000.0
SP025963,79000.0,56000.0
SP025954,,203350.0
SP025952,115000.0,95833.0
SP025941,27000.0,20014.0
SP025909,24000.0,57143.0
SP025907,7200.0,6514.0
SP025853,25000.0,21336.048
SP025822,270000.0,270000.0
SP025795,12000.0,11428.0
SP025771,134800.0,118132.0
SP025756,397000.0,378080.0
SP025745,80000.0,72000.0
SP025740,69000.0,98571.0
SP025739,60300.0,49440.0
SP025693,39000.0,36322.0
SP025684,46000.0,44512.0
SP025681,115000.0,165714.0
SP025665,240000.0,240266.0
SP025650,398500.0,350000.0
SP025647,92500.0,90000.0
SP025638,127800.0,111000.0
SP025628,54000.0,73500.0
SP025623,100800.0,107100.0
SP025617,105000.0,123810.0
SP025613,125000.0,125000.0
SP025596,240000.0,240000.0
SP025585,39000.0,54000.0
SP025556,80000.0,65000.25
SP025549,145000.0,138095.0
SP025546,18600.0,19000.0
SP025529,33000.0,28780.243902439022
SP025490,110000.0,115238.0
